role_id,role_name,family_id,family_name
role:002512ea11463fec,算法工程师,ai_algorithm,AI与算法
role:0615b6f70f47c4ee,需求工程师,product_design,产品与设计
role:09171f7cf31e257a,硬件工程师,hardware_embedded,硬件与嵌入式
role:0b5975e65797d0d0,UE4开发工程师,software_development,软件研发
role:178c0648fe4b0ba0,机器学习工程师,ai_algorithm,AI与算法
role:18765a53127e4c64,硬件测试工程师,testing_quality,测试与质量
role:197c1f52d070546f,汽车电子工程师,intelligent_systems,智能系统与低空技术
role:1ad2d3a78f413302,PCB工程师,hardware_embedded,硬件与嵌入式
role:1b3b17f05fda7a99,鸿蒙开发工程师,software_development,软件研发
role:2b27ad3169e7ccc8,Go开发工程师,software_development,软件研发
role:2b706db2b9d7d150,运维工程师,ops_infrastructure,运维与基础设施
role:347fc0487b2d5d7f,EDA工程师,chip_semiconductor,芯片与半导体
role:3bb24669cdfcb97d,iOS开发工程师,software_development,软件研发
role:45bcbd9741c47b68,C++开发工程师,software_development,软件研发
role:479aca63e210bd12,智能驾驶工程师,intelligent_systems,智能系统与低空技术
role:4c7e7ea49d6b6c0d,Unity3D开发工程师,software_development,软件研发
role:53359f3e87ecd623,芯片测试工程师,chip_semiconductor,芯片与半导体
role:54220793b43aba8d,电气工程师,hardware_embedded,硬件与嵌入式
role:546b9153c9c6d024,自动控制工程师,hardware_embedded,硬件与嵌入式
role:5e3cf03e5e49f49b,深度学习工程师,ai_algorithm,AI与算法
role:5e6000924673bd4b,前端开发工程师,software_development,软件研发
role:61430b676efb31a3,数据建模工程师,data_technology,数据技术
role:6a433a6d33c6c54a,芯片架构工程师,chip_semiconductor,芯片与半导体
role:6e27401e3cce6aac,无人机工程师,intelligent_systems,智能系统与低空技术
role:735f0fc629dbe231,语音识别工程师,ai_algorithm,AI与算法
role:73682d473be54c64,计算机视觉工程师,ai_algorithm,AI与算法
role:7420ef27026bb1c9,网络工程师,network_security,网络与安全
role:775f14fc808c83da,产品经理,product_design,产品与设计
role:7cfe3c45053c265b,游戏开发工程师,software_development,软件研发
role:8d95cdfcccc81b31,通信测试工程师,testing_quality,测试与质量
role:8ee9cc34c2b52733,嵌入式硬件开发工程师,hardware_embedded,硬件与嵌入式
role:932a40cd995999e1,平台产品经理,product_design,产品与设计
role:941176d98516b8a2,数据产品经理,product_design,产品与设计
role:9641ca3b5b92d0b0,自动化测试工程师,testing_quality,测试与质量
role:96d3148d3da1d7df,Java开发工程师,software_development,软件研发
role:99c197673f18f949,低空GIS工程师,intelligent_systems,智能系统与低空技术
role:9a7b20d194fbea14,通信网络工程师,network_security,网络与安全
role:9d75db2bd1707d21,ETL开发工程师,data_technology,数据技术
role:a13c6b88bde1def9,数据分析师,data_technology,数据技术
role:a220c5ecbfc79454,数据采集工程师,data_technology,数据技术
role:a6defc75a09cf6ed,Cocos开发工程师,software_development,软件研发
role:ab2c72a36ed822cf,IC设计工程师,chip_semiconductor,芯片与半导体
role:ac73d0a4492e5de9,软件测试工程师,testing_quality,测试与质量
role:ae609f74f8ac9a8a,光电子工程师,hardware_embedded,硬件与嵌入式
role:aff84df8be88232c,低空经济系统工程师,intelligent_systems,智能系统与低空技术
role:b257290b279deb69,.NET开发工程师,software_development,软件研发
role:b2bd4052b55a67c6,通信技术工程师,network_security,网络与安全
role:b503ef5c1d24bbd2,Android开发工程师,software_development,软件研发
role:c0958aaad3d968af,测试开发工程师,testing_quality,测试与质量
role:d158cb6a847a4409,嵌入式软件开发工程师,hardware_embedded,硬件与嵌入式
role:dcdc0188d0778629,电源开发工程师,hardware_embedded,硬件与嵌入式
role:e2370bfba24b1c17,半导体工程师,chip_semiconductor,芯片与半导体
role:f20db33d160764e8,Python开发工程师,software_development,软件研发
role:fa9581040c1fc10d,自然语言处理工程师,ai_algorithm,AI与算法
role:fe9eb6dcd0bfadb5,BI工程师,data_technology,数据技术
